time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude,source_file,city,year,month,month_name,day_of_year,season,sunshine_hours,temperature_range,rain_day,hot_day,freezing_day,windy_day,comfort_temperature,dry_day,sunny_enough,low_cloud_cover,suitable_retreat_day,ok_day,suitability_label,ok_day_label,month_sin,month_cos,day_sin,day_cos
2018-01-08,4.3,-4.9,0.0,0.0,15.6,33.1,9.66,30304.92,84,21,2018-01-08T07:52,2018-01-08T17:18,2018-01-08,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,8,Winter,8.418033333333334,9.2,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833
2018-01-08,8.2,-0.6,3.7,0.0,9.2,33.8,9.22,29969.0,81,2,2018-01-08T07:56,2018-01-08T17:18,2018-01-08,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,8,Winter,8.324722222222222,8.799999999999999,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833
2018-01-09,2.4,-1.0,0.6,8.4,31.6,61.2,1.02,0.0,95,96,2018-01-09T07:52,2018-01-09T17:19,2018-01-09,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,9,Winter,0.0,3.4,True,False,True,True,False,False,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751
2018-01-09,7.4,1.2,4.9,10.2,7.1,25.2,0.81,0.0,93,100,2018-01-09T07:56,2018-01-09T17:19,2018-01-09,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,9,Winter,0.0,6.2,True,False,False,False,False,False,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751
2018-01-10,5.5,1.7,2.8,4.4,24.3,63.4,3.95,13767.24,94,72,2018-01-10T07:51,2018-01-10T17:20,2018-01-10,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,10,Winter,3.8242333333333334,3.8,True,False,False,True,False,False,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282
2018-01-10,8.7,3.8,6.1,14.3,21.6,67.3,3.93,15959.91,93,86,2018-01-10T07:56,2018-01-10T17:20,2018-01-10,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,10,Winter,4.433308333333334,4.8999999999999995,True,False,False,True,False,False,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282
2018-01-11,5.0,0.2,2.6,1.5,26.0,52.2,6.37,26160.12,86,61,2018-01-11T07:51,2018-01-11T17:22,2018-01-11,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,11,Winter,7.2667,4.8,True,False,False,True,False,False,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291
2018-01-11,8.2,1.6,5.1,10.2,16.7,54.4,6.74,30226.52,87,55,2018-01-11T07:55,2018-01-11T17:21,2018-01-11,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,11,Winter,8.396255555555555,6.6,True,False,False,True,False,False,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291
2018-01-12,4.5,-2.7,1.0,0.0,15.9,31.0,6.45,21549.65,87,79,2018-01-12T07:51,2018-01-12T17:23,2018-01-12,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,12,Winter,5.986013888888889,7.2,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.20496611396949532,0.9787690698649216
2018-01-12,6.6,0.2,3.5,0.0,5.4,16.9,5.96,19237.53,89,83,2018-01-12T07:55,2018-01-12T17:22,2018-01-12,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,12,Winter,5.343758333333333,6.3999999999999995,False,False,False,False,False,True,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.20496611396949532,0.9787690698649216
2018-01-13,5.0,0.0,1.8,8.0,19.5,37.8,3.65,11050.55,92,82,2018-01-13T07:51,2018-01-13T17:24,2018-01-13,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,13,Winter,3.069597222222222,5.0,True,False,False,False,False,False,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.22177215755648186,0.975098513039961
2018-01-13,8.4,2.8,5.4,16.2,12.1,38.2,4.47,13345.54,97,95,2018-01-13T07:55,2018-01-13T17:24,2018-01-13,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,13,Winter,3.7070944444444445,5.6000000000000005,True,False,False,False,False,False,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.22177215755648186,0.975098513039961
2018-01-14,3.8,-1.4,1.0,0.0,12.5,25.6,5.52,18202.18,86,74,2018-01-14T07:50,2018-01-14T17:25,2018-01-14,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,14,Winter,5.056161111111111,5.199999999999999,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.23851257519407648,0.9711394088771653
